scan_record_id,raw_scan_id,count_control_mode,acquisition_state_id,lattice_state_id,UB_state_id,scan_variable_raw,pre_detector_status,split_role,discovery_runtime_status,pre_detector_reasons,source_point_count,usable_geometry_points,energy_order,admissible_windows,discovery_qc_reasons
SCAN-02R-48f6ae0dc1c99d07,104216,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,holdout,not_evaluated,,26,26,decreasing_reversed_with_provenance,68,
SCAN-02R-4979cab4b4eed413,104195,monitor_controlled,ACQSTATE-02R-1f2cf8c8f4f60684,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,qk,not_primary_energy_discovery,not_applicable,not_evaluated,,16,0,not_evaluated,0,
SCAN-02R-49c7081b477e8f3d,104107,time_controlled,ACQSTATE-02R-76dbf689e6cbf1b2,LAT-02R-ae4c74e47a033f66,UB-02R-1d710a6baa059bbb,s1,not_primary_energy_discovery,not_applicable,not_evaluated,,51,0,not_evaluated,0,
SCAN-02R-4a9d7177d38df4e7,104061,time_controlled,ACQSTATE-02R-08c77f1cdd894d24,LAT-02R-ae4c74e47a033f66,UB-02R-397acad65dd9e384,a1,not_primary_energy_discovery,not_applicable,not_evaluated,,11,0,not_evaluated,0,
SCAN-02R-4ad1398a663b7933,104212,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,discovery,discovery_usable,,56,56,decreasing_reversed_with_provenance,188,
SCAN-02R-4cc04512e6886f13,104137,time_controlled,ACQSTATE-02R-b456d493f62e0335,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,s2,not_primary_energy_discovery,not_applicable,not_evaluated,,21,0,not_evaluated,0,
SCAN-02R-4d54ea7698000638,104171,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,discovery,discovery_usable,,20,20,increasing,44,
SCAN-02R-4eb3495e2e32dd73,104175,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,discovery,discovery_usable,,51,51,increasing,168,
SCAN-02R-4ecc00c5eac2e1b4,104082,time_controlled,ACQSTATE-02R-39797c031fe0f745,LAT-02R-ae4c74e47a033f66,UB-02R-1d710a6baa059bbb,ql,not_primary_energy_discovery,not_applicable,not_evaluated,,21,0,not_evaluated,0,
SCAN-02R-4f5e09d1864ac832,104166,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,discovery,discovery_usable,,20,20,increasing,44,
