scan_record_id,point_index,discovery_runtime_status,high_rate_status,detector_counts_per_second,qc_reasons
SCAN-02R-1e5b02c69224108d,19,discovery_usable,normal_rate_diagnostic,0.13603406292935752,
SCAN-02R-1e5b02c69224108d,20,discovery_usable,normal_rate_diagnostic,0.21479597846497092,
SCAN-02R-1e5b02c69224108d,21,discovery_usable,normal_rate_diagnostic,0.11357344652820171,
SCAN-02R-1e5b02c69224108d,22,discovery_usable,normal_rate_diagnostic,0.15296311403764348,
SCAN-02R-1e5b02c69224108d,23,discovery_usable,normal_rate_diagnostic,0.2620093874220522,
SCAN-02R-1e5b02c69224108d,24,discovery_usable,normal_rate_diagnostic,0.17834572706900428,
SCAN-02R-1e5b02c69224108d,25,discovery_usable,normal_rate_diagnostic,0.18303503927295298,
SCAN-02R-1e5b02c69224108d,26,discovery_usable,normal_rate_diagnostic,0.1916427778620651,
SCAN-02R-1e5b02c69224108d,27,discovery_usable,normal_rate_diagnostic,0.3394540316086963,
SCAN-02R-1e5b02c69224108d,28,discovery_usable,normal_rate_diagnostic,0.1680235844013014,
SCAN-02R-1e5b02c69224108d,29,discovery_usable,normal_rate_diagnostic,0.25137517004790916,
SCAN-02R-1e5b02c69224108d,30,discovery_usable,normal_rate_diagnostic,0.3054234477944064,
SCAN-02R-26c5588a4a75efc2,0,discovery_usable,normal_rate_diagnostic,8.773117842685808,
SCAN-02R-26c5588a4a75efc2,1,discovery_usable,normal_rate_diagnostic,0.27692218000913355,
SCAN-02R-26c5588a4a75efc2,2,discovery_usable,normal_rate_diagnostic,0.16637458683644268,
SCAN-02R-26c5588a4a75efc2,3,discovery_usable,normal_rate_diagnostic,0.20761365405798188,
SCAN-02R-26c5588a4a75efc2,4,discovery_usable,normal_rate_diagnostic,0.20359891014701037,
SCAN-02R-26c5588a4a75efc2,5,discovery_usable,normal_rate_diagnostic,0.2663304983931393,
SCAN-02R-26c5588a4a75efc2,6,discovery_usable,normal_rate_diagnostic,0.19241376656361842,
SCAN-02R-26c5588a4a75efc2,7,discovery_usable,normal_rate_diagnostic,0.24249646648005987,
SCAN-02R-26c5588a4a75efc2,8,discovery_usable,normal_rate_diagnostic,0.22176674170894795,
SCAN-02R-26c5588a4a75efc2,9,discovery_usable,normal_rate_diagnostic,0.24021594148845382,
SCAN-02R-26c5588a4a75efc2,10,discovery_usable,normal_rate_diagnostic,0.17820605900600622,
SCAN-02R-26c5588a4a75efc2,11,discovery_usable,normal_rate_diagnostic,0.28003948556746505,
SCAN-02R-26c5588a4a75efc2,12,discovery_usable,normal_rate_diagnostic,0.17915929500817415,
SCAN-02R-26c5588a4a75efc2,13,discovery_usable,normal_rate_diagnostic,0.28766015673591244,
SCAN-02R-26c5588a4a75efc2,14,discovery_usable,normal_rate_diagnostic,0.22110092467565284,
SCAN-02R-26c5588a4a75efc2,15,discovery_usable,normal_rate_diagnostic,0.28426363873250005,
SCAN-02R-26c5588a4a75efc2,16,discovery_usable,normal_rate_diagnostic,0.25986707405424136,
SCAN-02R-26c5588a4a75efc2,17,discovery_usable,normal_rate_diagnostic,0.18930729306346525,
SCAN-02R-26c5588a4a75efc2,18,discovery_usable,normal_rate_diagnostic,0.270744857781594,
SCAN-02R-26c5588a4a75efc2,19,discovery_usable,normal_rate_diagnostic,0.2512711363367624,
SCAN-02R-26c5588a4a75efc2,20,discovery_usable,normal_rate_diagnostic,0.15951044793433972,
SCAN-02R-26c5588a4a75efc2,21,discovery_usable,normal_rate_diagnostic,0.13965556527427617,
SCAN-02R-26c5588a4a75efc2,22,discovery_usable,normal_rate_diagnostic,0.17508602052312658,
SCAN-02R-26c5588a4a75efc2,23,discovery_usable,normal_rate_diagnostic,0.09435149075355391,
