scan_record_id,count_control_mode,acquisition_state_id,pre_detector_status,split_role,assignment_sha256,stratum_size,stratum_holdout_count,holdout_status,holdout_backfill
SCAN-02R-4cc04512e6886f13,time_controlled,ACQSTATE-02R-b456d493f62e0335,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-4d54ea7698000638,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,3e962390e361a7ae9fc3ed90a16f90f2a2c261889fd28028b8378529e077cba4,65,16,available,false
SCAN-02R-4eb3495e2e32dd73,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,e383e19350906eeb3505af53a0655504d7da043a19e7d3f4f7806fd09ba7e144,65,16,available,false
SCAN-02R-4ecc00c5eac2e1b4,time_controlled,ACQSTATE-02R-39797c031fe0f745,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-4f5e09d1864ac832,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,5266ff2edef001a4b984bfd6aeb761a1b594c235ba88b26d56f590fc3b2762ff,65,16,available,false
SCAN-02R-4f9204b624c2d482,time_controlled,ACQSTATE-02R-d8bd77a44fe00800,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-4fb9fc6716a3e65a,time_controlled,ACQSTATE-02R-4c4e33f0acec143e,eligible_for_split,discovery,cc7cf1b8573869e0055a993b97bd0396b5115d5cc032886797284fb7a0bba2ea,1,0,unavailable_small_stratum,false
SCAN-02R-51cfd518e3a0c6ec,time_controlled,ACQSTATE-02R-9ab3f10f56634512,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-51f6ed2eb7632349,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,4d03c985852fcf00886cf88a25baabebf4b2f372413e74b139037ed528cee676,65,16,available,false
SCAN-02R-5215f80c458dc1c4,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,f84ccf723724413cf5175499278ef8f246ab481956316d7d9d1234816af122ee,65,16,available,false
SCAN-02R-5467ba1e21b73319,monitor_controlled,ACQSTATE-02R-30a8b3a0d08462ab,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-54bfea84553b4c65,monitor_controlled,ACQSTATE-02R-76ff5c324efb0d8a,eligible_for_split,holdout,03aa93f33884cc175d01cecc10032303c46aee35ea3e32966b4a12135d30b427,9,2,available,false
SCAN-02R-58a76874c3967085,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,holdout,1edf2494b0515d627badf2a87c885aba21a5350ca98cec6d610cb40cb5a8ade8,65,16,available,false
SCAN-02R-59701ee4cf5ede45,time_controlled,ACQSTATE-02R-b914afde3130cb09,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-598c5cedd335b846,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,holdout,2b3124e204dd94257446e0d8900d8fad2a88bd9079bc7d7ff3fe39cf4dd63cdc,65,16,available,false
SCAN-02R-59fa80474896a50b,time_controlled,ACQSTATE-02R-cbc3f2d268d2ba2a,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-5b1259784f010264,time_controlled,ACQSTATE-02R-c3afc250a187b5a4,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-5b80daccf8c23dd0,time_controlled,ACQSTATE-02R-6c0bdd080b2c5a8d,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-5e02dde1da14be55,monitor_controlled,ACQSTATE-02R-76ff5c324efb0d8a,eligible_for_split,holdout,241666f4cc387e61c26fe0f0257a4fb655828fec03c9383dad0a8a96c8676dde,9,2,available,false
SCAN-02R-5e52d7e5fbefbc05,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,93d07f70b3417f20697ed30a0ebaa97f66f032f15a902db3bae6cf89deeca473,65,16,available,false
SCAN-02R-5e9a406134424e15,time_controlled,ACQSTATE-02R-53df6374615f09d5,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-5ef2c24fed347fd7,monitor_controlled,ACQSTATE-02R-72bc31d155544226,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-5f553db9674e6d45,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,holdout,1bc7d4f4d346d9cafb18049b065ec8bf522d5ccc93ddb3d32ee68c7088a6a1ec,65,16,available,false
SCAN-02R-616075842b1e4c6e,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,diagnostic_only_insufficient_geometry,not_applicable,,0,0,not_applicable,false
