file_record_id,dataset_id,source_file,source_checksum,file_size_bytes,file_extension,filesystem_mtime,filesystem_mtime_trust,raw_format_id,raw_format_fingerprint,file_role,parse_status,parse_message,duplicate_status,duplicate_group_id,raw_scan_id,file_scan_cardinality_status,quality_flag,quality_reasons
FILE-02R-8f1ba21ed4bd7f82,EXP-TAIPAN-001,TAIPAN_exp1296_scan104142.dat,e70c2eed4b67bd17dae101af78fee1a7c3ded11052b333232396b4b25ba4ef5c,16870,.dat,2023-08-30T22:35:56Z,A001_snapshot_filesystem_metadata_only,FMT-02R-365d8346d6ba,365d8346d6bae3096f01aa4d5a6ed097b14e8772eb4c4c1cdcaeb2b00136bf06,scan,parsed,complete_one_declared_numeric_block,unique_content,,104142,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved;scan_range_unresolved_mapping
FILE-02R-2418706b7fadc72a,EXP-TAIPAN-001,TAIPAN_exp1296_scan104143.dat,9562d48165ec02b8683467e28f007a9f30aa1087ff868c5c809da36a3bddb2ee,16870,.dat,2023-08-30T22:42:22Z,A001_snapshot_filesystem_metadata_only,FMT-02R-a20370d76087,a20370d76087483996ad128dc77f5702769dc90871f1c50ee14cda6374893fd5,scan,parsed,complete_one_declared_numeric_block,unique_content,,104143,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved;scan_range_unresolved_mapping
FILE-02R-8e2c879cefd110cd,EXP-TAIPAN-001,TAIPAN_exp1296_scan104144.dat,0e1b43006748a96fa536319020a8e602e74607468b28e68327d6028d97e19279,16870,.dat,2023-08-30T22:44:20Z,A001_snapshot_filesystem_metadata_only,FMT-02R-365d8346d6ba,365d8346d6bae3096f01aa4d5a6ed097b14e8772eb4c4c1cdcaeb2b00136bf06,scan,parsed,complete_one_declared_numeric_block,unique_content,,104144,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved;scan_range_unresolved_mapping
FILE-02R-45874942b83e2b22,EXP-TAIPAN-001,TAIPAN_exp1296_scan104145.dat,59bebd3146ec50efb6eea00d1daa43a93f0d7d8560811abdd55e4b522249359e,17133,.dat,2023-08-30T23:06:18Z,A001_snapshot_filesystem_metadata_only,FMT-02R-42b66acce1bb,42b66acce1bb9e9094963947aadec8ab8c696386b7568b34f522a890d0edecea,scan,parsed,complete_one_declared_numeric_block,unique_content,,104145,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-bdf26dd096fe3d32,EXP-TAIPAN-001,TAIPAN_exp1296_scan104146.dat,94f742df4cf59a0e45ae775c3a2c95e6947e7134ab444654a8c3c6d6a3073c8d,17134,.dat,2023-08-30T23:16:16Z,A001_snapshot_filesystem_metadata_only,FMT-02R-42b66acce1bb,42b66acce1bb9e9094963947aadec8ab8c696386b7568b34f522a890d0edecea,scan,parsed,complete_one_declared_numeric_block,unique_content,,104146,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-47923655f1056cab,EXP-TAIPAN-001,TAIPAN_exp1296_scan104147.dat,439a42c61feb45209a4020e4dff4d7228ad0fe7f075c595b2228fde0dce37ff2,24551,.dat,2023-08-31T03:05:22Z,A001_snapshot_filesystem_metadata_only,FMT-02R-06137a7de1ad,06137a7de1ad68c8d3c5ee311070d73b8ce93af24fa948c32feac02252005c49,scan,parsed,complete_one_declared_numeric_block,unique_content,,104147,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-4228d41a4d290624,EXP-TAIPAN-001,TAIPAN_exp1296_scan104148.dat,69480da70fe27420f6d05fc558332220a56abf88376bba7bb85376b3f6c91eb5,24551,.dat,2023-08-31T04:44:50Z,A001_snapshot_filesystem_metadata_only,FMT-02R-06137a7de1ad,06137a7de1ad68c8d3c5ee311070d73b8ce93af24fa948c32feac02252005c49,scan,parsed,complete_one_declared_numeric_block,unique_content,,104148,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-05fe96ea32344287,EXP-TAIPAN-001,TAIPAN_exp1296_scan104149.dat,f14bc1707c626f4420c41c20732b12c205dafc1d3b645c9923413e0d8ba4add1,24551,.dat,2023-08-31T06:24:20Z,A001_snapshot_filesystem_metadata_only,FMT-02R-06137a7de1ad,06137a7de1ad68c8d3c5ee311070d73b8ce93af24fa948c32feac02252005c49,scan,parsed,complete_one_declared_numeric_block,unique_content,,104149,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-0481b23618cb53b9,EXP-TAIPAN-001,TAIPAN_exp1296_scan104150.dat,fadf2c1230c26fb88173d4c7d40647c4a330dbbe44289be8fa8c60a5ea8d4dc0,24551,.dat,2023-08-31T08:03:32Z,A001_snapshot_filesystem_metadata_only,FMT-02R-06137a7de1ad,06137a7de1ad68c8d3c5ee311070d73b8ce93af24fa948c32feac02252005c49,scan,parsed,complete_one_declared_numeric_block,unique_content,,104150,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-db3216aa4bbb640f,EXP-TAIPAN-001,TAIPAN_exp1296_scan104151.dat,77b3ef5318968f8763ca755f9612d56c3297c7273b62cb0673a472244addbe91,24551,.dat,2023-08-31T09:42:36Z,A001_snapshot_filesystem_metadata_only,FMT-02R-06137a7de1ad,06137a7de1ad68c8d3c5ee311070d73b8ce93af24fa948c32feac02252005c49,scan,parsed,complete_one_declared_numeric_block,unique_content,,104151,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
