file_record_id,scan_record_id,relationship_role,mapping_status,mapping_evidence
FILE-02R-bf59440a7fa73cb0,SCAN-02R-26cdfd757f62fb5b,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-bf79ed0d77995891,SCAN-02R-79960ffd3b8a968b,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-bff91d54ea3694cc,SCAN-02R-5f553db9674e6d45,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-c05367f62e677421,SCAN-02R-7493a417e6451013,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-c3e24502c9f0d434,SCAN-02R-7118d0dce593edea,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-c53e15719794e79d,SCAN-02R-957a8834d758202b,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-c5bcebfd15547df9,SCAN-02R-35c1a2ccd5e9e62e,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-c6551e798a983dea,SCAN-02R-7acd4c14a0007418,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-c69ab82458056286,SCAN-02R-baae22000a534323,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-c912be15b436a763,SCAN-02R-4650765ebe11f415,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-cc89eb40bfc37a5e,SCAN-02R-f36bb8e354cf21b7,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-cce1ab2377a518c4,SCAN-02R-8c948345fe20cada,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-ce58ed2f984920f7,SCAN-02R-87a18bddebeb7046,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-ceb7bd14d0317a9e,SCAN-02R-c09396a290b0d6b2,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-ceedca39f412c49d,SCAN-02R-77b71bd09c7eb4b4,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-cfd92f7a26e7ac76,SCAN-02R-4ad1398a663b7933,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-cfedb7dee4a8071f,SCAN-02R-72904b63e5e6e883,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-d0f83ca7a2fc0fa2,SCAN-02R-4d54ea7698000638,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-d2b0ec8a459c99cd,SCAN-02R-54bfea84553b4c65,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-d4c0ddac62527f9b,SCAN-02R-58a76874c3967085,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-d5b9b7d27e8a1098,SCAN-02R-f56f915bc229d6aa,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
