file_record_id,scan_record_id,relationship_role,mapping_status,mapping_evidence
FILE-02R-97f6d9fb82b77f9b,SCAN-02R-4fb9fc6716a3e65a,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-98ae70bbe8082ef4,SCAN-02R-762111064d108c6d,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-9aad2f08ff8b0092,SCAN-02R-e5f864cf4587fc19,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-9aae17c864f1b80f,SCAN-02R-fb555611767fe647,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-9b86ca5f436ba496,SCAN-02R-325ad9a57ee92673,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-9c94dad236447dac,SCAN-02R-a1d82bdc331e2df4,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-a119883ca3dcd30c,SCAN-02R-731f452fb62a55bd,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-a2d17d3a2580b423,SCAN-02R-a9a9857e0e5183b2,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-a31d6cff4c90e94e,SCAN-02R-074afad5a6b92ea4,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-a486a5a1a77ae9d6,SCAN-02R-68a1fdbd8955d9a4,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-a4f1d0ae9a0b3bf3,SCAN-02R-c3dcce6e5bc72678,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-a8f25df3c5847d30,SCAN-02R-da644119c60690fc,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-a91939947e7b8665,SCAN-02R-e7c2e1a042f607c2,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-a98cdafc1ca03212,SCAN-02R-49c7081b477e8f3d,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-aa07ebe39d21c0b8,SCAN-02R-d5e00829a2a54fb6,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-ac00d0136c230341,SCAN-02R-a0737ac6a3eb4604,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-ad5a7d1fd9cfbffb,SCAN-02R-391364dde623200d,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-afd3d05ceefc8cfc,SCAN-02R-46abc72aaf86494c,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-b026e7e938fde3e5,SCAN-02R-b30351ae2c4fc24c,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-b2043e6967551433,SCAN-02R-84cb0b6150577fdc,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-b3c55d12147f0b5a,SCAN-02R-2a0e91f43e0fe127,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-b3edfec0667b8f81,SCAN-02R-91de8f7a5ce6984b,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-b40b4e01e3d73fa0,SCAN-02R-11f9a7978abc2be1,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-b4ceb51089e2f382,SCAN-02R-6d3fa023f691129f,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-b59b6a3cc82d9e1d,SCAN-02R-8e9939a05c893131,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-b721852cd2326ced,SCAN-02R-93657997ed968c54,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-b730d75fdfeddc6e,SCAN-02R-eea1fadd4abbd144,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-b8820660a9c99eff,SCAN-02R-2c38778fb264b3af,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-b8d95c80bf59904b,SCAN-02R-fb62d31e5c3c1dbf,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-b8ec3f5c2c448132,SCAN-02R-7d946974f8e94f38,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-bbc5fdf4c121156c,SCAN-02R-cb3c11e0b8e28580,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-bd0a749a22eed9a0,SCAN-02R-4cc04512e6886f13,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-bd241a68da8cc714,SCAN-02R-291dabeaaa79ad80,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-bd94cd4cf6e4e3f5,SCAN-02R-43979cdff2eef525,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-bdf26dd096fe3d32,SCAN-02R-936cf3ec1b1f48e0,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-be39377fb913fc52,SCAN-02R-5e02dde1da14be55,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-beccc20ba43b8f5e,SCAN-02R-e772d925e68f4477,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-bede7d78a8ceca86,SCAN-02R-4f5e09d1864ac832,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
