dataset_id,file_record_id,scan_record_id,raw_format_id,diagnostic_type,severity,field_or_section,source_line_number,message
EXP-TAIPAN-001,FILE-02R-58cb1ca25197b413,SCAN-02R-76804d90690fee01,FMT-02R-42b66acce1bb,duplicate_declared_label,info,ql,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-5a38e4c96d738a19,SCAN-02R-59fa80474896a50b,FMT-02R-365d8346d6ba,duplicate_declared_label,info,sgu,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-5b72ee4e48fdf768,SCAN-02R-6fded6b51e0642a8,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-5b79965e065191e7,SCAN-02R-643ff7e40bd97888,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-5baa765c008151e1,SCAN-02R-3d7ecf2f3c542662,FMT-02R-365d8346d6ba,duplicate_declared_label,info,sgu,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-5c81e383ba658579,SCAN-02R-f4c54e6724ab8666,FMT-02R-a96f4c9633b6,duplicate_declared_label,info,qk,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-5c81e383ba658579,SCAN-02R-f4c54e6724ab8666,FMT-02R-a96f4c9633b6,duplicate_declared_label,info,ql,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-6034a133895cf720,SCAN-02R-48f6ae0dc1c99d07,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-617a2a398a2b60f6,SCAN-02R-43d400370d39ebe7,FMT-02R-00e53630cd36,duplicate_declared_label,info,s1,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-6189a97c1406ead2,SCAN-02R-2c07251df8824bce,FMT-02R-de66a609ccd2,duplicate_declared_label,info,s2,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-62d24cd256ac118d,SCAN-02R-87edbdf74d1e5fb1,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-63cb694c40fcbcba,SCAN-02R-c5843105fb81b54c,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-64501f6fb06d7fd7,SCAN-02R-f52305deb1f82a3a,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-66851aafa89e085d,SCAN-02R-5e9a406134424e15,FMT-02R-a20370d76087,duplicate_declared_label,info,sgl,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-67de6714e483831a,SCAN-02R-403532c05321d7d2,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-695aceb0fa62cd6c,SCAN-02R-f4da1c738ba8c661,FMT-02R-92d14f023eb1,duplicate_declared_label,info,ei,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-69a9daffcc832bf3,SCAN-02R-95f55247c2e05782,FMT-02R-de66a609ccd2,duplicate_declared_label,info,s2,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-6a8bab42345cf933,SCAN-02R-af1610dac9676d6c,FMT-02R-00e53630cd36,duplicate_declared_label,info,s1,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-6b300108d97c50d7,SCAN-02R-4979cab4b4eed413,FMT-02R-fb75879b9023,duplicate_declared_label,info,qk,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-759b1548e2848432,SCAN-02R-0f8fb12fa9acc5a9,FMT-02R-fb75879b9023,duplicate_declared_label,info,qk,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-794180199909af6d,SCAN-02R-51cfd518e3a0c6ec,FMT-02R-00e53630cd36,duplicate_declared_label,info,s1,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-7987b5c1b8836d69,SCAN-02R-91f840c137c7a43c,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-79943ebb90eea890,SCAN-02R-ebc55d8b20e3cec0,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-79cf8c5a8e4232ec,SCAN-02R-3f903a520f921d83,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-7adfcda5fa810ed3,SCAN-02R-c18c53ef408b1d89,FMT-02R-fb75879b9023,duplicate_declared_label,info,qk,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-7b4c7320a63d5cd3,SCAN-02R-dc90a5b672d54c2c,FMT-02R-365d8346d6ba,duplicate_declared_label,info,sgu,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-7becabec9104d679,SCAN-02R-51f6ed2eb7632349,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-7cd079bcfb286b69,SCAN-02R-a4d537ac569af0ba,FMT-02R-de66a609ccd2,duplicate_declared_label,info,s2,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-7cec5631778ed46c,SCAN-02R-097d0c674875ad7d,FMT-02R-a96f4c9633b6,duplicate_declared_label,info,qk,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-7cec5631778ed46c,SCAN-02R-097d0c674875ad7d,FMT-02R-a96f4c9633b6,duplicate_declared_label,info,ql,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-7d8d4710d9fda42d,SCAN-02R-88b013f641209af6,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-805bf0b29dd5a40f,SCAN-02R-ae86f327e3ed5623,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-8520bbc912b86a63,SCAN-02R-32cf60066cdcd074,FMT-02R-00e53630cd36,duplicate_declared_label,info,s1,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-871111657c7b0483,SCAN-02R-2f690557cfd20bec,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-8ae16df0090d9ece,SCAN-02R-71f68f9554b93f6c,FMT-02R-fb75879b9023,duplicate_declared_label,info,qk,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-8c648da4a5a0c8a0,SCAN-02R-2161de9a5edbe1bf,FMT-02R-00e53630cd36,duplicate_declared_label,info,s1,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-8e2c879cefd110cd,SCAN-02R-113d971bbff5b0fe,FMT-02R-365d8346d6ba,duplicate_declared_label,info,sgu,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-8e8d6f81d4ae79b3,SCAN-02R-d4d684343e0d7d6c,FMT-02R-a20370d76087,duplicate_declared_label,info,sgl,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-8ed78b57325efbda,SCAN-02R-abcd8030795bc9cb,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-8f1ba21ed4bd7f82,SCAN-02R-f565bb6e9ffba8d0,FMT-02R-365d8346d6ba,duplicate_declared_label,info,sgu,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-8fc906a71e9b9ad1,SCAN-02R-4ecc00c5eac2e1b4,FMT-02R-42b66acce1bb,duplicate_declared_label,info,ql,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-91cd9b689abe9b78,SCAN-02R-89614c0503a95275,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-92a7020f108c2fa4,SCAN-02R-5e52d7e5fbefbc05,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-94e685e09ee9d021,SCAN-02R-05cdcdc49c83bec6,FMT-02R-00e53630cd36,duplicate_declared_label,info,s1,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-972e9ad8a53ed5c3,SCAN-02R-ebcf02322ed12a94,FMT-02R-de66a609ccd2,duplicate_declared_label,info,s2,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-975cdb1b1c0c9bd2,SCAN-02R-211255ce1a05d229,FMT-02R-00e53630cd36,duplicate_declared_label,info,s1,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-97c73e3850f8c504,SCAN-02R-076c78acdde2d2d0,FMT-02R-00e53630cd36,duplicate_declared_label,info,s1,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-97f6d9fb82b77f9b,SCAN-02R-4fb9fc6716a3e65a,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
