centroid,complex_id,component_id,final_K,fit_status,fitted_background_parameters,integrated_area,log_likelihood,model_id,numerical_convergence_status,observed_empirical_fwhm,optimizer_stability_status,parameter_status,reason,scan_id,scientific_status,start_count
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -8.575271534933801, ""b1"": 0.3076587621787641}",1.035733259572096e-05,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-91de8f7a5ce6984b,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -11.60571630206906, ""b1"": -2.543914829094387}",2.5697163764243256e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-91f840c137c7a43c,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -12.234950958080432, ""b1"": -3.033244448107621}",1.8138669777617387e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-957a8834d758202b,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -12.349641410743615, ""b1"": -3.1009988644607516}",1.7951327877890961e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-abcd8030795bc9cb,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -12.040065818207653, ""b1"": -2.7808909730191425}",1.8138645229156184e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-ae86f327e3ed5623,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -11.822208030025623, ""b1"": -2.2035375886906374}",2.1863520629218576e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-c5843105fb81b54c,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -11.832941433865393, ""b1"": -2.8143272049705197}",2.2766265639273874e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-ebc55d8b20e3cec0,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -11.969296326265246, ""b1"": -2.7074451848777614}",1.9460836085967908e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-eea1fadd4abbd144,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -11.86275977691495, ""b1"": -2.402319489224264}",2.0607435855122513e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-f36bb8e354cf21b7,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -11.854979678975964, ""b1"": -2.37848231644759}",2.07644300585179e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-f380a5a0600b447a,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -11.839025868658876, ""b1"": -2.3584892915543825}",2.084296727309941e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-f56f915bc229d6aa,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -12.09063784663472, ""b1"": -2.379136740404695}",2.147096714446816e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-f87c8c3cd06321c2,estimate_numerically_unresolved,16
17.551964925059764,CX-02,C01,1,valid,"{""b0"": -11.781315921234707, ""b1"": -2.3989582229174973}",2.1526787571575317e-06,-11991.208729518832,K1,warning,0.06000699999999995,unresolved,estimated,,SCAN-02R-fede66c26a275769,estimate_numerically_unresolved,16
40.606256468046574,CX-03,C01,1,valid,"{""b0"": -9.251937080520918, ""b1"": 0.1316742870234812}",1.047925482683554e-05,-1467.152812489857,K1,warning,0.11998800000000003,unresolved,estimated,,SCAN-02R-074afad5a6b92ea4,estimate_numerically_unresolved,16
40.606256468046574,CX-03,C01,1,valid,"{""b0"": -9.33555011936094, ""b1"": 0.19733482376775258}",9.779535297264247e-06,-1467.152812489857,K1,warning,0.11998800000000003,unresolved,estimated,,SCAN-02R-1e5b02c69224108d,estimate_numerically_unresolved,16
40.606256468046574,CX-03,C01,1,valid,"{""b0"": -9.457679135217727, ""b1"": 0.4005594063620236}",8.936309220035095e-06,-1467.152812489857,K1,warning,0.11998800000000003,unresolved,estimated,,SCAN-02R-26c5588a4a75efc2,estimate_numerically_unresolved,16
40.606256468046574,CX-03,C01,1,valid,"{""b0"": -9.314960259942795, ""b1"": 0.059752998106889416}",9.905694763556659e-06,-1467.152812489857,K1,warning,0.11998800000000003,unresolved,estimated,,SCAN-02R-2a0e91f43e0fe127,estimate_numerically_unresolved,16
40.606256468046574,CX-03,C01,1,valid,"{""b0"": -9.441638061323989, ""b1"": 0.12401135609053344}",8.748330192933813e-06,-1467.152812489857,K1,warning,0.11998800000000003,unresolved,estimated,,SCAN-02R-306a96179bd778b6,estimate_numerically_unresolved,16
40.606256468046574,CX-03,C01,1,valid,"{""b0"": -9.174731722227703, ""b1"": 0.15504338702163062}",1.138809987969396e-05,-1467.152812489857,K1,warning,0.11998800000000003,unresolved,estimated,,SCAN-02R-432159a75d80f2b3,estimate_numerically_unresolved,16
40.606256468046574,CX-03,C01,1,valid,"{""b0"": -9.40123986739983, ""b1"": 0.13611733222826258}",9.185379950356609e-06,-1467.152812489857,K1,warning,0.11998800000000003,unresolved,estimated,,SCAN-02R-4ad1398a663b7933,estimate_numerically_unresolved,16
40.606256468046574,CX-03,C01,1,valid,"{""b0"": -9.346911701722243, ""b1"": 0.1140543305881078}",9.495674686772274e-06,-1467.152812489857,K1,warning,0.11998800000000003,unresolved,estimated,,SCAN-02R-4eb3495e2e32dd73,estimate_numerically_unresolved,16
40.606256468046574,CX-03,C01,1,valid,"{""b0"": -9.559996035212185, ""b1"": 0.24126722444160284}",7.901623749756508e-06,-1467.152812489857,K1,warning,0.11998800000000003,unresolved,estimated,,SCAN-02R-51f6ed2eb7632349,estimate_numerically_unresolved,16
40.606256468046574,CX-03,C01,1,valid,"{""b0"": -9.516038098100834, ""b1"": 0.17704535251180936}",8.206562071683958e-06,-1467.152812489857,K1,warning,0.11998800000000003,unresolved,estimated,,SCAN-02R-68a1fdbd8955d9a4,estimate_numerically_unresolved,16
40.606256468046574,CX-03,C01,1,valid,"{""b0"": -9.518630868677809, ""b1"": 0.187775215153913}",8.13863969788186e-06,-1467.152812489857,K1,warning,0.11998800000000003,unresolved,estimated,,SCAN-02R-7118d0dce593edea,estimate_numerically_unresolved,16
40.606256468046574,CX-03,C01,1,valid,"{""b0"": -9.240866517798143, ""b1"": 0.3014634992047975}",1.0863711395737212e-05,-1467.152812489857,K1,warning,0.11998800000000003,unresolved,estimated,,SCAN-02R-762111064d108c6d,estimate_numerically_unresolved,16
40.606256468046574,CX-03,C01,1,valid,"{""b0"": -9.560476953070197, ""b1"": 0.07165004838294667}",7.757703958151808e-06,-1467.152812489857,K1,warning,0.11998800000000003,unresolved,estimated,,SCAN-02R-77b71bd09c7eb4b4,estimate_numerically_unresolved,16
40.606256468046574,CX-03,C01,1,valid,"{""b0"": -9.383438703034573, ""b1"": 0.18049071807182065}",9.366714762120835e-06,-1467.152812489857,K1,warning,0.11998800000000003,unresolved,estimated,,SCAN-02R-79e659b84aa4786d,estimate_numerically_unresolved,16
40.606256468046574,CX-03,C01,1,valid,"{""b0"": -9.561948816835542, ""b1"": 0.22247074039960918}",7.869531429471411e-06,-1467.152812489857,K1,warning,0.11998800000000003,unresolved,estimated,,SCAN-02R-91f840c137c7a43c,estimate_numerically_unresolved,16
40.606256468046574,CX-03,C01,1,valid,"{""b0"": -9.42419360683916, ""b1"": 0.22732488862124617}",8.900783442516395e-06,-1467.152812489857,K1,warning,0.11998800000000003,unresolved,estimated,,SCAN-02R-abcd8030795bc9cb,estimate_numerically_unresolved,16
40.606256468046574,CX-03,C01,1,valid,"{""b0"": -9.028445481266129, ""b1"": 0.448894331763996}",1.373878944621322e-05,-1467.152812489857,K1,warning,0.11998800000000003,unresolved,estimated,,SCAN-02R-d2b7e9ee069bd20e,estimate_numerically_unresolved,16
40.606256468046574,CX-03,C01,1,valid,"{""b0"": -9.707909735589729, ""b1"": 0.1033488852105305}",6.823982497650243e-06,-1467.152812489857,K1,warning,0.11998800000000003,unresolved,estimated,,SCAN-02R-ebc55d8b20e3cec0,estimate_numerically_unresolved,16
40.606256468046574,CX-03,C01,1,valid,"{""b0"": -9.188600397707495, ""b1"": 0.3864801086835849}",1.1581600793188683e-05,-1467.152812489857,K1,warning,0.11998800000000003,unresolved,estimated,,SCAN-02R-ef6a11424f751d3f,estimate_numerically_unresolved,16
40.606256468046574,CX-03,C01,1,valid,"{""b0"": -8.81505135360608, ""b1"": 0.1537800000540637}",1.6401788980596328e-05,-1467.152812489857,K1,warning,0.11998800000000003,unresolved,estimated,,SCAN-02R-f71173d3ec0c732c,estimate_numerically_unresolved,16
