assessment_type,complex_id,model_id,passes,promotion_status,reason,scan_id,start_count,status,supportive_scan_count,supportive_scan_ids
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-731f452fb62a55bd,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-75faa4a614a8f130,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-774f62fc1777bc6b,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-77b71bd09c7eb4b4,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-8345a5938afc1084,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-8641a638f4880175,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-89614c0503a95275,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-8ca6316615b8cbae,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-8dcd5041a8a4e044,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-8e62e3b1b9deee81,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-91de8f7a5ce6984b,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-91f840c137c7a43c,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-957a8834d758202b,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-abcd8030795bc9cb,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-ae86f327e3ed5623,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-c5843105fb81b54c,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-ebc55d8b20e3cec0,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-eea1fadd4abbd144,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-f36bb8e354cf21b7,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-f380a5a0600b447a,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-f56f915bc229d6aa,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-f87c8c3cd06321c2,16,unresolved,,
final_optimizer_reproduction,CX-02,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-fede66c26a275769,16,unresolved,,
cross_scan_component_recurrence,CX-02,K2,,not_promoted,earlier_component_development_gate_failed,,,not_evaluated,,
final_optimizer_reproduction,CX-03,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-074afad5a6b92ea4,16,unresolved,,
final_optimizer_reproduction,CX-03,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-1e5b02c69224108d,16,unresolved,,
final_optimizer_reproduction,CX-03,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-26c5588a4a75efc2,16,unresolved,,
final_optimizer_reproduction,CX-03,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-2a0e91f43e0fe127,16,unresolved,,
final_optimizer_reproduction,CX-03,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-306a96179bd778b6,16,unresolved,,
final_optimizer_reproduction,CX-03,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-432159a75d80f2b3,16,unresolved,,
final_optimizer_reproduction,CX-03,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-4ad1398a663b7933,16,unresolved,,
final_optimizer_reproduction,CX-03,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-4eb3495e2e32dd73,16,unresolved,,
final_optimizer_reproduction,CX-03,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-51f6ed2eb7632349,16,unresolved,,
final_optimizer_reproduction,CX-03,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-68a1fdbd8955d9a4,16,unresolved,,
final_optimizer_reproduction,CX-03,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-7118d0dce593edea,16,unresolved,,
final_optimizer_reproduction,CX-03,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-762111064d108c6d,16,unresolved,,
final_optimizer_reproduction,CX-03,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-77b71bd09c7eb4b4,16,unresolved,,
final_optimizer_reproduction,CX-03,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-79e659b84aa4786d,16,unresolved,,
final_optimizer_reproduction,CX-03,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-91f840c137c7a43c,16,unresolved,,
final_optimizer_reproduction,CX-03,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-abcd8030795bc9cb,16,unresolved,,
final_optimizer_reproduction,CX-03,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-d2b7e9ee069bd20e,16,unresolved,,
final_optimizer_reproduction,CX-03,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-ebc55d8b20e3cec0,16,unresolved,,
final_optimizer_reproduction,CX-03,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-ef6a11424f751d3f,16,unresolved,,
final_optimizer_reproduction,CX-03,K1,False,,optimizer_solution_not_reproduced_or_fit_unavailable,SCAN-02R-f71173d3ec0c732c,16,unresolved,,
cross_scan_component_recurrence,CX-03,K2,,not_promoted,earlier_component_development_gate_failed,,,not_evaluated,,
