complex_id,estimability_status,fit_status,material,overall_status,reason,scan_id,sensitivity_model,window_lower_anchors,window_point_count,window_upper_anchors
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-f87c8c3cd06321c2,B0,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-f87c8c3cd06321c2,B2,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-fb62d31e5c3c1dbf,B0,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-fb62d31e5c3c1dbf,B2,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-fede66c26a275769,B0,,,
CX-01,not_estimated,not_estimated,,not_estimated,final_fit_unavailable_for_sensitivity,SCAN-02R-fede66c26a275769,B2,,,
CX-02,estimable,valid,False,material,,SCAN-02R-059bd02c78268a2b,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-059bd02c78268a2b,B2,18,9,5
CX-02,estimable,unstable,True,material,,SCAN-02R-0e6d00a831c04e8d,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-0e6d00a831c04e8d,B2,18,9,5
CX-02,estimable,unstable,True,material,,SCAN-02R-26c5588a4a75efc2,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-26c5588a4a75efc2,B2,18,9,35
CX-02,estimable,unstable,True,material,,SCAN-02R-2f690557cfd20bec,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-2f690557cfd20bec,B2,18,9,5
CX-02,estimable,valid,False,material,,SCAN-02R-306a96179bd778b6,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-306a96179bd778b6,B2,18,9,35
CX-02,estimable,unstable,True,material,,SCAN-02R-3f903a520f921d83,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-3f903a520f921d83,B2,18,9,5
CX-02,estimable,unstable,True,material,,SCAN-02R-43979cdff2eef525,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-43979cdff2eef525,B2,17,9,5
CX-02,estimable,unstable,True,material,,SCAN-02R-45d1daf515e218b6,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-45d1daf515e218b6,B2,18,9,5
CX-02,estimable,unstable,True,material,,SCAN-02R-4ad1398a663b7933,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-4ad1398a663b7933,B2,18,9,35
CX-02,estimable,unstable,True,material,,SCAN-02R-4eb3495e2e32dd73,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-4eb3495e2e32dd73,B2,13,9,35
CX-02,estimable,unstable,True,material,,SCAN-02R-51f6ed2eb7632349,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-51f6ed2eb7632349,B2,8,9,35
CX-02,estimable,unstable,True,material,,SCAN-02R-68a1fdbd8955d9a4,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-68a1fdbd8955d9a4,B2,13,9,35
CX-02,estimable,unstable,True,material,,SCAN-02R-6fded6b51e0642a8,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-6fded6b51e0642a8,B2,18,9,5
CX-02,estimable,unstable,True,material,,SCAN-02R-708cf4d83a29d78f,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-708cf4d83a29d78f,B2,18,9,5
CX-02,estimable,unstable,True,material,,SCAN-02R-7118d0dce593edea,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-7118d0dce593edea,B2,18,9,35
CX-02,estimable,valid,False,acceptable,,SCAN-02R-731f452fb62a55bd,B0,2,7,2
CX-02,estimable,valid,False,acceptable,,SCAN-02R-731f452fb62a55bd,B2,17,9,5
CX-02,estimable,valid,False,material,,SCAN-02R-75faa4a614a8f130,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-75faa4a614a8f130,B2,18,9,5
CX-02,estimable,unstable,True,material,,SCAN-02R-774f62fc1777bc6b,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-774f62fc1777bc6b,B2,17,9,5
CX-02,estimable,unstable,True,material,,SCAN-02R-77b71bd09c7eb4b4,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-77b71bd09c7eb4b4,B2,18,9,35
CX-02,estimable,unstable,True,material,,SCAN-02R-8345a5938afc1084,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-8345a5938afc1084,B2,18,9,5
CX-02,estimable,valid,False,material,,SCAN-02R-8641a638f4880175,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-8641a638f4880175,B2,17,9,5
CX-02,estimable,unstable,True,material,,SCAN-02R-89614c0503a95275,B0,2,7,2
CX-02,estimable,valid,False,material,,SCAN-02R-89614c0503a95275,B2,18,9,5
CX-02,estimable,valid,False,acceptable,,SCAN-02R-8ca6316615b8cbae,B0,2,10,2
CX-02,estimable,valid,False,acceptable,,SCAN-02R-8ca6316615b8cbae,B2,33,12,10
CX-02,estimable,valid,False,acceptable,,SCAN-02R-8dcd5041a8a4e044,B0,2,7,2
CX-02,estimable,valid,False,acceptable,,SCAN-02R-8dcd5041a8a4e044,B2,17,9,5
CX-02,estimable,unstable,True,material,,SCAN-02R-8e62e3b1b9deee81,B0,2,7,2
CX-02,estimable,valid,False,material,,SCAN-02R-8e62e3b1b9deee81,B2,18,9,5
CX-02,estimable,unstable,True,material,,SCAN-02R-91de8f7a5ce6984b,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-91de8f7a5ce6984b,B2,17,9,5
CX-02,estimable,unstable,True,material,,SCAN-02R-91f840c137c7a43c,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-91f840c137c7a43c,B2,18,9,35
CX-02,estimable,unstable,True,material,,SCAN-02R-957a8834d758202b,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-957a8834d758202b,B2,18,9,5
CX-02,estimable,unstable,True,material,,SCAN-02R-abcd8030795bc9cb,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-abcd8030795bc9cb,B2,18,9,35
CX-02,estimable,unstable,True,material,,SCAN-02R-ae86f327e3ed5623,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-ae86f327e3ed5623,B2,18,9,5
CX-02,estimable,unstable,True,material,,SCAN-02R-c5843105fb81b54c,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-c5843105fb81b54c,B2,18,9,5
CX-02,estimable,valid,False,material,,SCAN-02R-ebc55d8b20e3cec0,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-ebc55d8b20e3cec0,B2,18,9,35
CX-02,estimable,unstable,True,material,,SCAN-02R-eea1fadd4abbd144,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-eea1fadd4abbd144,B2,18,9,5
CX-02,estimable,unstable,True,material,,SCAN-02R-f36bb8e354cf21b7,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-f36bb8e354cf21b7,B2,18,9,5
CX-02,estimable,valid,False,acceptable,,SCAN-02R-f380a5a0600b447a,B0,2,7,2
CX-02,estimable,valid,False,acceptable,,SCAN-02R-f380a5a0600b447a,B2,18,9,5
CX-02,estimable,valid,False,material,,SCAN-02R-f56f915bc229d6aa,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-f56f915bc229d6aa,B2,18,9,5
CX-02,estimable,unstable,True,material,,SCAN-02R-f87c8c3cd06321c2,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-f87c8c3cd06321c2,B2,18,9,5
CX-02,estimable,unstable,True,material,,SCAN-02R-fede66c26a275769,B0,2,7,2
CX-02,estimable,unstable,True,material,,SCAN-02R-fede66c26a275769,B2,18,9,5
CX-03,estimable,valid,False,material,,SCAN-02R-074afad5a6b92ea4,B0,2,10,2
CX-03,estimable,unstable,True,material,,SCAN-02R-074afad5a6b92ea4,B2,21,12,9
CX-03,estimable,valid,False,acceptable,,SCAN-02R-1e5b02c69224108d,B0,2,10,2
CX-03,estimable,valid,False,acceptable,,SCAN-02R-1e5b02c69224108d,B2,21,12,4
CX-03,estimable,valid,False,acceptable,,SCAN-02R-26c5588a4a75efc2,B0,2,10,2
CX-03,estimable,valid,False,acceptable,,SCAN-02R-26c5588a4a75efc2,B2,41,12,9
CX-03,estimable,valid,False,material,,SCAN-02R-2a0e91f43e0fe127,B0,2,10,2
CX-03,estimable,unstable,True,material,,SCAN-02R-2a0e91f43e0fe127,B2,21,12,4
CX-03,estimable,valid,False,acceptable,,SCAN-02R-306a96179bd778b6,B0,2,10,2
CX-03,estimable,valid,False,acceptable,,SCAN-02R-306a96179bd778b6,B2,41,12,9
CX-03,estimable,valid,False,material,,SCAN-02R-432159a75d80f2b3,B0,2,10,2
CX-03,estimable,unstable,True,material,,SCAN-02R-432159a75d80f2b3,B2,21,12,4
CX-03,estimable,valid,False,material,,SCAN-02R-4ad1398a663b7933,B0,2,10,2
CX-03,estimable,unstable,True,material,,SCAN-02R-4ad1398a663b7933,B2,41,12,9
CX-03,estimable,valid,False,material,,SCAN-02R-4eb3495e2e32dd73,B0,2,10,2
CX-03,estimable,unstable,True,material,,SCAN-02R-4eb3495e2e32dd73,B2,36,12,9
CX-03,estimable,valid,False,acceptable,,SCAN-02R-51f6ed2eb7632349,B0,2,10,2
CX-03,estimable,valid,False,acceptable,,SCAN-02R-51f6ed2eb7632349,B2,31,12,9
CX-03,estimable,valid,False,acceptable,,SCAN-02R-68a1fdbd8955d9a4,B0,2,10,2
CX-03,estimable,valid,False,acceptable,,SCAN-02R-68a1fdbd8955d9a4,B2,36,12,9
CX-03,estimable,valid,False,material,,SCAN-02R-7118d0dce593edea,B0,2,10,2
CX-03,estimable,unstable,True,material,,SCAN-02R-7118d0dce593edea,B2,41,12,9
CX-03,estimable,valid,False,acceptable,,SCAN-02R-762111064d108c6d,B0,2,10,2
CX-03,estimable,valid,False,acceptable,,SCAN-02R-762111064d108c6d,B2,21,12,4
CX-03,estimable,valid,False,acceptable,,SCAN-02R-77b71bd09c7eb4b4,B0,2,10,2
CX-03,estimable,valid,False,acceptable,,SCAN-02R-77b71bd09c7eb4b4,B2,41,12,9
CX-03,estimable,valid,False,material,,SCAN-02R-79e659b84aa4786d,B0,2,10,2
CX-03,estimable,unstable,True,material,,SCAN-02R-79e659b84aa4786d,B2,21,12,4
CX-03,estimable,valid,False,acceptable,,SCAN-02R-91f840c137c7a43c,B0,2,10,2
CX-03,estimable,valid,False,acceptable,,SCAN-02R-91f840c137c7a43c,B2,41,12,9
CX-03,estimable,valid,False,acceptable,,SCAN-02R-abcd8030795bc9cb,B0,2,10,2
CX-03,estimable,valid,False,acceptable,,SCAN-02R-abcd8030795bc9cb,B2,41,12,9
CX-03,estimable,valid,False,material,,SCAN-02R-d2b7e9ee069bd20e,B0,2,10,2
CX-03,estimable,unstable,True,material,,SCAN-02R-d2b7e9ee069bd20e,B2,21,12,4
CX-03,estimable,valid,False,acceptable,,SCAN-02R-ebc55d8b20e3cec0,B0,2,10,2
CX-03,estimable,valid,False,acceptable,,SCAN-02R-ebc55d8b20e3cec0,B2,41,12,9
CX-03,estimable,valid,False,acceptable,,SCAN-02R-ef6a11424f751d3f,B0,2,10,2
CX-03,estimable,valid,False,acceptable,,SCAN-02R-ef6a11424f751d3f,B2,21,12,4
CX-03,estimable,valid,False,material,,SCAN-02R-f71173d3ec0c732c,B0,2,10,2
CX-03,estimable,unstable,True,material,,SCAN-02R-f71173d3ec0c732c,B2,21,12,4
