boundary_index,previous_scan_record_id,next_scan_record_id,boundary_type,changed_fields,normalization_relevant,supporting_evidence,confidence
72,SCAN-02R-11f9a7978abc2be1,SCAN-02R-87a18bddebeb7046,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""s1"",""previous"":""ps_left""}},""next_acquisition_start_time"":""2023-09-02T13:19:34"",""previous_acquisition_start_time"":""2023-09-02T13:17:22"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
73,SCAN-02R-87a18bddebeb7046,SCAN-02R-73adc0625f7869df,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""ps_bottom"",""previous"":""s1""}},""next_acquisition_start_time"":""2023-09-02T13:23:04"",""previous_acquisition_start_time"":""2023-09-02T13:19:34"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
74,SCAN-02R-73adc0625f7869df,SCAN-02R-b654b4eb1ebe23d6,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""ps_top"",""previous"":""ps_bottom""}},""next_acquisition_start_time"":""2023-09-02T13:24:19"",""previous_acquisition_start_time"":""2023-09-02T13:23:04"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
75,SCAN-02R-b654b4eb1ebe23d6,SCAN-02R-3796d374ac11519e,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""s1"",""previous"":""ps_top""}},""next_acquisition_start_time"":""2023-09-02T13:26:10"",""previous_acquisition_start_time"":""2023-09-02T13:24:19"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
76,SCAN-02R-3796d374ac11519e,SCAN-02R-d934969a642de523,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""pa_left"",""previous"":""s1""}},""next_acquisition_start_time"":""2023-09-02T13:30:10"",""previous_acquisition_start_time"":""2023-09-02T13:26:10"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
77,SCAN-02R-d934969a642de523,SCAN-02R-c74d6df747d6fccd,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""pa_right"",""previous"":""pa_left""}},""next_acquisition_start_time"":""2023-09-02T13:32:51"",""previous_acquisition_start_time"":""2023-09-02T13:30:10"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
78,SCAN-02R-c74d6df747d6fccd,SCAN-02R-5ef2c24fed347fd7,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""s1"",""previous"":""pa_right""}},""next_acquisition_start_time"":""2023-09-02T13:34:20"",""previous_acquisition_start_time"":""2023-09-02T13:32:51"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
79,SCAN-02R-5ef2c24fed347fd7,SCAN-02R-5467ba1e21b73319,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""pa_top"",""previous"":""s1""}},""next_acquisition_start_time"":""2023-09-02T13:39:30"",""previous_acquisition_start_time"":""2023-09-02T13:34:20"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
80,SCAN-02R-5467ba1e21b73319,SCAN-02R-c0c9b8b4b3c0d88f,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""pa_bottom"",""previous"":""pa_top""}},""next_acquisition_start_time"":""2023-09-02T13:42:01"",""previous_acquisition_start_time"":""2023-09-02T13:39:30"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
81,SCAN-02R-c0c9b8b4b3c0d88f,SCAN-02R-1c3a8acc71d9e5bd,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""s1"",""previous"":""pa_bottom""}},""next_acquisition_start_time"":""2023-09-02T13:45:26"",""previous_acquisition_start_time"":""2023-09-02T13:42:01"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
82,SCAN-02R-c8f01d8d90de0c04,SCAN-02R-4979cab4b4eed413,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""qk"",""previous"":""s1""}},""next_acquisition_start_time"":""2023-09-02T13:59:39"",""previous_acquisition_start_time"":""2023-09-02T13:50:12"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
83,SCAN-02R-4979cab4b4eed413,SCAN-02R-ed685e6e0b6d3265,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""en"",""previous"":""qk""}},""next_acquisition_start_time"":""2023-09-02T14:26:39"",""previous_acquisition_start_time"":""2023-09-02T13:59:39"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
84,SCAN-02R-4ad1398a663b7933,SCAN-02R-e772d925e68f4477,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""s1"",""previous"":""en""}},""next_acquisition_start_time"":""2023-09-04T12:11:53"",""previous_acquisition_start_time"":""2023-09-04T09:03:48"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
85,SCAN-02R-7fc5c872db142199,SCAN-02R-75faa4a614a8f130,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""en"",""previous"":""s1""}},""next_acquisition_start_time"":""2023-09-04T14:47:56"",""previous_acquisition_start_time"":""2023-09-04T14:16:38"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
