scan_record_id,raw_scan_id,sequence_index,acquisition_state_id,acquisition_state_status,instrument_config_id,instrument_config_status,count_control_mode,lattice_state_id,UB_state_id,normalization_epoch_id,critical_unknown_fields,relevant_unknown_fields,normalization_compatibility_status,normalization_compatibility_group_id,classification_notes
SCAN-02R-325ad9a57ee92673,104134,94,ACQSTATE-02R-9ab3f10f56634512,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,time_controlled,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-bc7c0a966a7cf80b,Metadata-only; no normalization; acquisition state is not hardware identity.
SCAN-02R-32cf60066cdcd074,104075,35,ACQSTATE-02R-c3afc250a187b5a4,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,time_controlled,LAT-02R-ae4c74e47a033f66,UB-02R-397acad65dd9e384,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-bc7c0a966a7cf80b,Metadata-only; no normalization; acquisition state is not hardware identity.
SCAN-02R-33c7ae4485edcd17,104114,74,ACQSTATE-02R-76dbf689e6cbf1b2,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,time_controlled,LAT-02R-ae4c74e47a033f66,UB-02R-1d710a6baa059bbb,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-bc7c0a966a7cf80b,Metadata-only; no normalization; acquisition state is not hardware identity.
SCAN-02R-35c1a2ccd5e9e62e,104069,29,ACQSTATE-02R-92658811a43cf789,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,time_controlled,LAT-02R-ae4c74e47a033f66,UB-02R-397acad65dd9e384,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-bc7c0a966a7cf80b,Metadata-only; no normalization; acquisition state is not hardware identity.
SCAN-02R-3796d374ac11519e,104187,147,ACQSTATE-02R-72bc31d155544226,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,monitor_controlled,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-26ed32e42105dda7,Metadata-only; no normalization; acquisition state is not hardware identity.
SCAN-02R-379ac295ed92a194,104117,77,ACQSTATE-02R-cbc3f2d268d2ba2a,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,time_controlled,LAT-02R-ae4c74e47a033f66,UB-02R-1d710a6baa059bbb,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-bc7c0a966a7cf80b,Metadata-only; no normalization; acquisition state is not hardware identity.
SCAN-02R-391364dde623200d,104124,84,ACQSTATE-02R-763c392f103059d4,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,time_controlled,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-bc7c0a966a7cf80b,Metadata-only; no normalization; acquisition state is not hardware identity.
SCAN-02R-3d7ecf2f3c542662,104043,3,ACQSTATE-02R-7948f6139a5d7c87,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,time_controlled,LAT-02R-ae4c74e47a033f66,UB-02R-55ac4333b2057246,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-bc7c0a966a7cf80b,Metadata-only; no normalization; acquisition state is not hardware identity.
SCAN-02R-3f903a520f921d83,104229,189,ACQSTATE-02R-896f06c2a7c231ec,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,monitor_controlled,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-26ed32e42105dda7,Metadata-only; no normalization; acquisition state is not hardware identity.
SCAN-02R-403532c05321d7d2,104155,115,ACQSTATE-02R-896f06c2a7c231ec,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,monitor_controlled,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-26ed32e42105dda7,Metadata-only; no normalization; acquisition state is not hardware identity.
